0 1.0000000000 
1 -0.5911878642 
2 0.2430668641 
3 -0.2018003207 
4 0.1394595140 
5 -0.1248757590 
6 0.0991921773 
7 -0.0918926805 
8 0.0778782974 
9 -0.0736036801 
10 0.0647907427 
11 -0.0620678779 
12 0.0560466470 
13 -0.0542324863 
14 0.0498739889 
15 -0.0486480927 
16 0.0453424488 
17 -0.0445343648 
18 0.0419791898 
19 -0.0414820674 
20 0.0394681958 
21 -0.0392264986 
22 0.0376067226 
23 -0.0375769573 
24 0.0362627938 
25 -0.0363877465 
26 0.0353439780 
27 -0.0356496228 
28 0.0348144712 
29 -0.0352671894 
30 0.0346143535 
31 -0.0352671894 
32 0.0348144712 
33 -0.0356496228 
34 0.0353439780 
35 -0.0363877465 
36 0.0362627938 
37 -0.0375769573 
38 0.0376067226 
39 -0.0392264986 
40 0.0394681958 
41 -0.0414820674 
42 0.0419791898 
43 -0.0445343648 
44 0.0453424488 
45 -0.0486480927 
46 0.0498739889 
47 -0.0542324863 
48 0.0560466470 
49 -0.0620678779 
50 0.0647907427 
51 -0.0736036801 
52 0.0778782974 
53 -0.0918926805 
54 0.0991921773 
55 -0.1248757590 
56 0.1394595140 
57 -0.2018003207 
58 0.2430668641 
59 -0.5911878642 
