5	3.118033989	3.25972041	0.141686422	0.623606798	0.651944082  1 
7	4.605179257	4.845870977	0.24069172	0.657882751	0.692267282  1
9	6.047299784	6.342464266	0.29516448	0.671922198	0.704718252  1
11	7.468936363	7.795512788	0.32657643	0.678994215	0.708682981  1
13	8.87958433	9.227056796	0.34747247	0.683044948	0.7097736    1
15	10.28366757	10.65231328	0.36864571	0.685577838	0.710154219  1
17	11.68352017	12.07480784	0.391287676	0.687265892	0.710282814  1
19 13.080488454274242 13.496777251050892 0.41628879677664976 0.68844676075 0.71035669742 1
21 14.475402982192023 14.918145993543849 0.44274301135182625 0.689305 0.71038790445447 1
23 15.868803679311394 16.339345461762022 0.4705417824506277 0.6899479860570171 0.7104063244244357 1
25 17.26105664235985 17.760431086345392 0.4993744439855412 0.690442265694394 0.7104172434538157 1
27 18.652418829532746 19.181374421715837 0.5289555921830917 0.6908303270197312 0.7104212748783643 1
29      nan             2.0602324542e+01 nan            nan             0.7104249842 1

6       4.302775638     4.302775638     0       0.717129273     0.717129273          0
8       5.651093409     5.694751186     0.04365778      0.706386676     0.711843898  0
10      7.015446354     7.107726657     0.0922803       0.701544635     0.710772666  0
12      8.387390917     8.526591658     0.13920074      0.698949243     0.710549305  0
14      9.763549534     9.946839972     0.18329044      0.697396395     0.710488569  0
16      11.14229636     11.36732015     0.22502379      0.696393523     0.710457509  0
18      12.52274909     12.78806785     0.265318768     0.695708283     0.710448214  0
20 13.904386529876417 14.208779783405154 0.3043932535287368 0.6952193264938209 0.7104389891702577 0
22 15.286880651765731 15.62957991833669 0.3426992665709587 0.6948582114438969 0.7104354508334859 0
24 16.670014516537247 17.050405535653464 0.3803910191162174 0.694583938189052 0.710433563985561 0
26 18.05363885218531 18.47129453419697 0.41765568201166303 0.6943707250840504 0.710434405161422 0
28      19.4423546265             19.8921207476362 NAN nan 0.7104328838441499 NAN 0
30      nan             2.1312966301e+01 nan            nan             0.71043221003 0
